id;zone_normale_min;zone_normale_max;date_anomalie;description_anomalie
1;42923;56157;2023-10-19;Paraguay auxiliary
2;2527;87332;2023-10-19;Dynamic Account Fields
3;28084;98136;2023-10-19;copying
4;74687;56564;2023-10-19;compelling
5;71116;85257;2023-10-19;connecting synthesizing program
6;36073;47123;2023-10-19;Buckinghamshire Bedfordshire Small
7;8457;33064;2023-10-18;copy bluetooth HTTP
8;75495;63922;2023-10-19;deliver Granite
9;76654;50788;2023-10-19;Liaison Product
10;93163;84571;2023-10-19;Centralized azure
